Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
201210,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,B,68088
201210,United Airlines,CO,United Airlines,CO,Domestic,US,Deplaned,Other,Terminal 3,F,218215
201210,United Airlines,CO,United Airlines,CO,Domestic,US,Enplaned,Other,Terminal 3,F,218261
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,International,G,42151
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,International,G,42936
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,E,16615
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,E,16510
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,1134
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,316080
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,313710
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,2370
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Other,International,G,68666
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Other,International,G,75847
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Other,International,G,6385
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Other,International,G,10357
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,12301
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,11411
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Thru / Transit,Other,Terminal 3,F,841
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Other,International,G,29254
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Other,International,G,26653
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Other,International,G,17657
201210,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Other,International,G,20027
201210,Virgin America,VX,Virgin America,VX,Domestic,US,Deplaned,Low Fare,Terminal 2,D,159694
201210,Virgin America,VX,Virgin America,VX,Domestic,US,Enplaned,Low Fare,Terminal 2,D,158349
201210,Virgin America,VX,Virgin America,VX,International,Mexico,Deplaned,Low Fare,International,A,4010
201210,Virgin America,VX,Virgin America,VX,International,Mexico,Enplaned,Low Fare,Terminal 2,D,3850
201210,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,11910
201210,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,12541
201210,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Deplaned,Other,International,A,6634
201210,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Enplaned,Other,International,A,6751
201211,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,3668
201211,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,2876
201211,Air Canada ,AC,Air Canada ,AC,International,Canada,Deplaned,Other,International,A,10820
201211,Air Canada ,AC,Air Canada ,AC,International,Canada,Enplaned,Other,International,A,10289
201211,Air Canada ,AC,Air Canada ,AC,International,Canada,Deplaned,Other,International,G,7836
201211,Air Canada ,AC,Air Canada ,AC,International,Canada,Enplaned,Other,International,G,7450
201211,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,7075
201211,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7085
201211,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,7774
201211,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,7899
201211,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,7202
201211,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,7761
201211,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,Terminal 1,B,9862
201211,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,Terminal 1,B,10032
201211,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,2417
201211,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,6790
201211,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,37356
201211,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,27946
201211,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,6046
201211,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,138
201211,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,Terminal 1,B,6391
201211,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,6675
201211,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6670
201211,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,120389
201211,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,121568
201211,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,7555
201211,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,7725
201211,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,14982
201211,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,15748
201211,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,17839
201211,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,18823
201211,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,8787
201211,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10015
201211,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,108754
201211,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,104710
201211,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Deplaned,Other,International,A,3717
201211,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Enplaned,Other,International,A,3849
201211,EVA Airways,,EVA Airways,,International,Asia,Deplaned,Other,International,G,12295
201211,EVA Airways,,EVA Airways,,International,Asia,Enplaned,Other,International,G,13534
201211,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Other,International,A,8305
201211,Emirates ,EK,Emirates ,EK,International,Middle East,Enplaned,Other,International,A,10043
201211,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,C,18687
201211,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,C,18257
201211,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,International,A,8100
201211,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,International,A,8215
201211,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,5252
201211,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,5365
201211,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,5556
201211,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,5534
201211,JetBlue Airways ,B6,JetBlue Airways ,B6,Domestic,US,Deplaned,Low Fare,International,A,41245
201211,JetBlue Airways ,B6,JetBlue Airways ,B6,Domestic,US,Enplaned,Low Fare,International,A,41946
201211,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,5657
201211,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,5535
201211,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,5712
201211,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,6445
201211,LAN Peru,LP,LAN Peru,LP,International,South America,Deplaned,Other,International,A,2982
201211,LAN Peru,LP,LAN Peru,LP,International,South America,Enplaned,Other,International,A,3023
201211,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,20541
201211,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,20217
201211,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,7185
201211,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,7960
201211,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,13923
201211,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,15108
201211,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 1,B,91557
201211,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 1,B,89040
201211,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,23765
201211,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,23677
201211,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,43068
201211,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,44528
201211,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,International,G,1322
201211,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 1,B,1165
201211,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 1,B,2534
201211,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,7850
201211,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,7313
201211,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Low Fare,Terminal 1,B,131385
201211,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Low Fare,Terminal 1,B,130622
201211,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,411
201211,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,International,A,3893
201211,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,3789
201211,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Other,International,G,5521
201211,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Other,International,G,5044
201211,TACA,TA,TACA,TA,International,Central America,Deplaned,Other,International,A,4613
201211,TACA,TA,TACA,TA,International,Central America,Enplaned,Other,International,A,5474
201211,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,B,66984
201211,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,B,66682
201211,United Airlines,CO,United Airlines,CO,Domestic,US,Deplaned,Other,Terminal 3,F,214589
201211,United Airlines,CO,United Airlines,CO,Domestic,US,Enplaned,Other,Terminal 3,F,216903
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,International,G,34639
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,International,G,42092
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,E,14011
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,E,14175
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,64
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,266214
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,269318
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,3018
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Other,International,G,62124
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Other,International,G,58880
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Other,International,G,8578
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Other,International,G,7909
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,8931
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,8832
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Thru / Transit,Other,Terminal 3,F,39
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Other,International,G,16231
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Other,International,G,16599
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Other,International,G,20403
201211,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Other,International,G,20797
201211,Virgin America,VX,Virgin America,VX,Domestic,US,Deplaned,Low Fare,Terminal 2,D,147428
201211,Virgin America,VX,Virgin America,VX,Domestic,US,Enplaned,Low Fare,Terminal 2,D,150457
201211,Virgin America,VX,Virgin America,VX,International,Mexico,Deplaned,Low Fare,International,A,4262
201211,Virgin America,VX,Virgin America,VX,International,Mexico,Enplaned,Low Fare,Terminal 2,D,5375
201211,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,7902
201211,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,9471
201211,World Airways,WO,World Airways,WO,Domestic,US,Enplaned,Other,International,A,271
201212,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,3070
201212,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,4163
201212,Air Canada ,AC,Air Canada ,AC,International,Canada,Deplaned,Other,International,A,10552
201212,Air Canada ,AC,Air Canada ,AC,International,Canada,Enplaned,Other,International,A,10148
201212,Air Canada ,AC,Air Canada ,AC,International,Canada,Deplaned,Other,International,G,7642
201212,Air Canada ,AC,Air Canada ,AC,International,Canada,Enplaned,Other,International,G,7348
201212,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,7118
201212,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7467
201212,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,8180
201212,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,8525
201212,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,10165
201212,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,9467
201212,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,Terminal 1,B,9397
201212,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,Terminal 1,B,9655
201212,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,1918
201212,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,5789
201212,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,32937
201212,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,29537
201212,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,5521
201212,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,215
201212,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,Terminal 1,B,6350
201212,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,6870
201212,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,7117
201212,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,118746
201212,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,121352
201212,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,7795
201212,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,7904
201212,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,12962
201212,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,13220
201212,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,17936
201212,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,19318
201212,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,9162
201212,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10269
201212,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,100403
201212,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,99972
201212,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Deplaned,Other,International,A,4469
201212,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Enplaned,Other,International,A,4482
201212,EVA Airways,,EVA Airways,,International,Asia,Deplaned,Other,International,G,13130
201212,EVA Airways,,EVA Airways,,International,Asia,Enplaned,Other,International,G,14110
201212,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Other,International,A,9968
201212,Emirates ,EK,Emirates ,EK,International,Middle East,Enplaned,Other,International,A,10548
201212,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,C,15836
201212,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,C,16137
201212,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,International,A,8002
201212,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,International,A,8496
201212,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,5538
201212,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,5882
201212,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,5695
201212,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,5976
201212,JetBlue Airways ,B6,JetBlue Airways ,B6,Domestic,US,Deplaned,Low Fare,International,A,41541
201212,JetBlue Airways ,B6,JetBlue Airways ,B6,Domestic,US,Enplaned,Low Fare,International,A,44155
201212,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,5937
201212,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,5914
201212,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,6258
201212,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,6712
201212,LAN Peru,LP,LAN Peru,LP,International,South America,Deplaned,Other,International,A,2336
